476,IDENT,CARTA DI IDENTITA',25
477,CIDIP,CARTA ID. DIPLOMATICA,15
478,IDELE,CARTA IDENTITA' ELETTRONICA,24
479,CERID,CERTIFICATO D'IDENTITA',11
480,PASSE,PASSAPORTO DI SERVIZIO,33
481,PASDI,PASSAPORTO DIPLOMATICO,31
482,PASOR,PASSAPORTO ORDINARIO,32
483,PATEN,PATENTE DI GUIDA,34
484,PATNA,PATENTE NAUTICA,35
485,PORM5,PORTO D'ARMI GUARDIE GIUR,40
486,PORM3,PORTO D'ARMI USO SPORTIVO,38
487,PORM2,PORTO FUCILE DIF. PERSON.,37
488,PORM1,PORTO FUCILE USO CACCIA,36
489,PORM4,PORTO PISTOLA DIF. PERSON,39
490,TENAV,TES. ENTE NAZ. ASSIS.VOLO,63
491,TFEXD,TES. FERROV. EX DEPUTATI,90
492,TFERD,TES. FERROVIARIA DEPUTATI,89
493,TESPT,TES. POSTE E TELECOMUNIC.,86
494,TECAM,TES. UNICO PER LA CAMERA,57
495,TEDOG,TES.DOGANALE RIL.MIN.FIN.,59
496,CFMIL,TESS. AG. E AG.SC. C.F.S.,12
497,PPAGE,TESS. AGENTI/ASS.TI P.P.,41
498,PSAPP,TESS. AGENTI/ASS.TI P.S.,45
499,ACMIL,TESS. APP.TO AG.CUSTODIA,2
500,CCMIL,TESS. APP.TO CARABINIERI,8
501,GFMIL,TESS. APP.TO FINANZIERE,20
502,VIMIL,TESS. APP.TO/VIG. URBANO,91
503,VVMIL,TESS. APP.TO/VIG. VV.FF.,94
504,TESCS,TESS. CONSIGLIO DI STATO,69
505,TESCA,TESS. CORTE D'APPELLO,68
506,TECOC,TESS. CORTE DEI CONTI,58
507,TEFSE,TESS. FERROV. SENATO,60
508,PSFUN,TESS. FUNZIONARI P.S.,47
509,TETEL,TESS. IDENTIF.TELECOM IT.,88
510,TEAMC,TESS. ISCR. ALBO MED/CHI.,55
511,TEAOD,TESS. ISCRIZ. ALBO ODONT.,56
512,PPISP,TESS. ISPETTORI P.P.,42
513,PSISP,TESS. ISPETTORI P.S.,48
514,TESEA,TESS. MEMBRO EQUIP. AEREO,71
515,MMMIL,TESS. MILIT. M.M.,27
516,SDMIL,TESS. MILIT. TRUPPA SISMI,52
517,EIMIL,TESS. MILITARE E.I.,17
518,TENAT,TESS. MILITARE NATO,62
519,AMMIL,TESS. MILITARE TRUPPA A.M,5
520,TESAE,TESS. MIN. AFFARI ESTERI,65
521,TESMB,TESS. MIN.BEN.E ATT.CULT.,74
522,TEMPI,TESS. MIN.PUBB.ISTRUZIONE,61
523,TESMN,TESS. MINIST. TRASP/NAVIG,79
524,TESMD,TESS. MINISTERO DIFESA,75
525,TESMF,TESS. MINISTERO FINANZE,76
526,TESMG,TESS. MINISTERO GIUSTIZIA,77
527,TESMI,TESS. MINISTERO INTERNO,78
528,TESLP,TESS. MINISTERO LAVORI PU,73
529,TESMS,TESS. MINISTERO SANITA',80
530,TESMT,TESS. MINISTERO TESORO,81
531,TESOG,TESS. ORDINE GIORNALISTI,83
532,PARLA,TESS. PARLAMENTARI,30
533,MAGIS,TESS. PERS. MAGISTRATI,26
534,GFTRI,TESS. POL. TRIB. G.D.F.,22
535,PSFEM,TESS. POLIZIA FEMMINILE,46
536,TESPC,TESS. PRES.ZA CONS. MIN.,84
537,TESPI,TESS. PUBBLICA ISTRUZIONE,85
538,DESIS,TESS. S.I.S.D.E.,16
539,ACSOT,TESS. SOTT.LI AG.CUSTODIA,3
540,GFSOT,TESS. SOTT.LI G.D.F.,21
541,VISOT,TESS. SOTT.LI VIG. URBANI,92
542,VVSOT,TESS. SOTTUFF.LI VV.FF.,95
543,AMSOT,TESS. SOTTUFFICIALI A.M.,6
544,CCSOT,TESS. SOTTUFFICIALI CC,9
545,EISOT,TESS. SOTTUFFICIALI E.I.,18
546,SDSOT,TESS. SOTTUFFICIALI SISMI,53
547,CFSOT,TESS. SOTTUFICIALI C.F.S.,13
548,MMSOT,TESS. SOTTUFICIALI M.M.,28
549,PPSOV,TESS. SOVRINTENDENTI P.P.,43
550,PSSOT,TESS. SOVRINTENDENTI P.S.,49
551,ACUFF,TESS. UFF.LI AG.CUSTODIA,4
552,VIUFF,TESS. UFF.LI VIG.URBANI,93
553,CCUFF,TESS. UFFICIALE,10
554,AMUFF,TESS. UFFICIALI A.M.,7
555,CFUFF,TESS. UFFICIALI C.F.S.,14
556,EIUFF,TESS. UFFICIALI E.I.,19
557,GFUFF,TESS. UFFICIALI G.D.F.,23
558,MMUFF,TESS. UFFICIALI M.M.,29
559,PPUFF,TESS. UFFICIALI P.P.,44
560,PSUFF,TESS. UFFICIALI P.S.,50
561,SDUFF,TESS. UFFICIALI SISMI,54
562,VVUFF,TESS. UFFICIALI VV.FF.,96
563,TESIN,TESS.ISCR. ALBO INGEGNERI,72
564,TESAR,TESS.ISCR.ALBO ARCHITETTI,66
565,TEPOL,TESS.MIN.POLIT.AGRIC.FOR.,64
566,TESNO,TESSERA DELL'ORDINE NOTAI,82
567,TESAV,TESSERA ISCR. ALBO AVVOC.,67
568,TESDI,TESSERA RICONOSC. D.I.A.,70
569,TESUN,TESSERA U.N.U.C.I.,87
570,RIFUG,TITOLO VIAGGIO RIF.POLIT.,51
